analysis_neighborhood,year,total_crime,violent_crime,property_crime,total_units,median_value,parcel_count,pct_residential,log_median_value,density,population,pop_white,pop_hispanic,pop_black,pop_asian,median_hh_income,log_income,crime_rate,violent_rate,property_rate,pct_white,pct_hispanic,pct_black,pct_asian,in_hospitality_zone
Chinatown,2020,1839,163,744,5960.0,885616.5,1406.0,0.5910384068278806,13.694039291639315,4.238975817923186,12644.0,6369.0,65490.0,0.0,57182.0,56266.69219173952,10.937858026120441,145.44447959506485,12.891490034799114,58.84213856374565,0.5037171781081936,5.179531793736159,0.0,4.522461246441,1
Chinatown,2021,2032,194,797,5961.0,915803.5,1406.0,0.5910384068278806,13.72755710099298,4.239687055476529,12644.0,6369.0,65490.0,0.0,57182.0,60224.58588779641,11.00583595137469,160.70863650743436,15.343245808288517,63.033850047453335,0.5037171781081936,5.179531793736159,0.0,4.522461246441,1
Chinatown,2022,2255,193,1023,5971.0,957325.5,1408.0,0.5909090909090909,13.771898737997413,4.240767045454546,12644.0,6369.0,65490.0,0.0,57182.0,69989.16155691816,11.156095674142167,178.34546029737425,15.264156912369504,80.90794052515027,0.5037171781081936,5.179531793736159,0.0,4.522461246441,1
Chinatown,2023,2204,183,1077,5948.0,987562.5,1406.0,0.5931721194879089,13.802995064893855,4.230440967283073,12644.0,6369.0,65490.0,0.0,57182.0,48252.61390284757,10.784205279452047,174.3119266055046,14.473267953179374,85.17874090477696,0.5037171781081936,5.179531793736159,0.0,4.522461246441,1
Excelsior,2018,2302,248,926,9785.0,364622.5,8786.0,0.9765536080127476,12.806617850787244,1.1137036193944911,37915.0,28266.0,195519.0,3171.0,97992.0,79218.67860422406,11.279967390958834,60.714756692601874,6.540946854806805,24.423051562706053,0.7455096927337466,5.156771726229724,0.08363444547013056,2.5845180007912436,0
Excelsior,2019,2063,259,905,9786.0,379954.0,8787.0,0.9766700808011836,12.847805471743529,1.1136906794127688,37915.0,28266.0,195519.0,3171.0,97992.0,81738.07760180996,11.31127523839064,54.411182909138866,6.831069497560333,23.869181062903863,0.7455096927337466,5.156771726229724,0.08363444547013056,2.5845180007912436,0
Excelsior,2020,2236,226,1221,9786.0,397704.0,8787.0,0.9766700808011836,12.89346328897774,1.1136906794127688,37915.0,28266.0,195519.0,3171.0,97992.0,108892.05537251568,11.598112352839395,58.974020836080705,5.96070156929975,32.20361334564157,0.7455096927337466,5.156771726229724,0.08363444547013056,2.5845180007912436,0
Excelsior,2021,2168,246,1154,9788.0,408203.0,8788.0,0.9769003186162949,12.919519878669435,1.1137915339098772,37915.0,28266.0,195519.0,3171.0,97992.0,97258.84705882354,11.485131229670197,57.18053540814981,6.4881972833970725,30.436502703415535,0.7455096927337466,5.156771726229724,0.08363444547013056,2.5845180007912436,0
Excelsior,2022,2115,246,1123,9824.0,425146.0,8789.0,0.9774718397997497,12.9601879183256,1.1177608374103993,37915.0,28266.0,195519.0,3171.0,97992.0,107416.62393858325,11.584470234354345,55.7826717657919,6.4881972833970725,29.618884346564684,0.7455096927337466,5.156771726229724,0.08363444547013056,2.5845180007912436,0
Excelsior,2023,2365,228,1350,9834.0,448673.0,8781.0,0.9783623733060016,13.014049616318031,1.1199180047830544,37915.0,28266.0,195519.0,3171.0,97992.0,101568.4428852782,11.528488164357023,62.376368192008435,6.013451140709482,35.6059607015693,0.7455096927337466,5.156771726229724,0.08363444547013056,2.5845180007912436,0
